algorithm,input_type,n,trial,time_ms,mem_kb
mergesort,random,1000,1,0.301,8
quicksort,random,1000,1,0.2712,0
insertionsort,random,1000,1,2.4792,0
selectionsort,random,1000,1,2.1784,0
bubblesort,random,1000,1,6.198,0
mergesort,random,1000,2,0.2267,0
quicksort,random,1000,2,0.2904,0
insertionsort,random,1000,2,3.5079,0
selectionsort,random,1000,2,2.1682,0
bubblesort,random,1000,2,6.455,0
mergesort,random,1000,3,0.22,0
quicksort,random,1000,3,0.2605,0
insertionsort,random,1000,3,2.733,0
selectionsort,random,1000,3,2.5939,0
bubblesort,random,1000,3,6.0921,0
mergesort,random,1000,4,0.2794,0
quicksort,random,1000,4,0.2664,0
insertionsort,random,1000,4,2.5414,0
selectionsort,random,1000,4,2.1818,0
bubblesort,random,1000,4,6.9247,0
mergesort,random,1000,5,0.2413,0
quicksort,random,1000,5,0.2497,0
insertionsort,random,1000,5,3.2407,0
selectionsort,random,1000,5,2.3938,0
bubblesort,random,1000,5,6.7002,0
mergesort,random,1000,6,0.2634,0
quicksort,random,1000,6,0.2813,0
insertionsort,random,1000,6,2.6275,0
selectionsort,random,1000,6,2.2515,0
bubblesort,random,1000,6,7.9466,0
mergesort,random,1000,7,0.5378,0
quicksort,random,1000,7,0.2732,0
insertionsort,random,1000,7,2.4623,0
selectionsort,random,1000,7,2.3256,0
bubblesort,random,1000,7,6.1792,0
mergesort,random,1000,8,0.4682,0
quicksort,random,1000,8,0.5822,0
insertionsort,random,1000,8,2.9727,0
selectionsort,random,1000,8,2.1885,0
bubblesort,random,1000,8,6.2283,0
mergesort,random,1000,9,0.4241,0
quicksort,random,1000,9,0.449,0
insertionsort,random,1000,9,2.8793,0
selectionsort,random,1000,9,2.2977,0
bubblesort,random,1000,9,6.1875,0
mergesort,random,1000,10,0.2166,0
quicksort,random,1000,10,0.2749,0
insertionsort,random,1000,10,2.5272,0
selectionsort,random,1000,10,3.5402,0
bubblesort,random,1000,10,8.0906,0
mergesort,sorted,1000,1,0.17,0
quicksort,sorted,1000,1,0.2233,0
insertionsort,sorted,1000,1,0.0143,0
selectionsort,sorted,1000,1,2.1674,0
bubblesort,sorted,1000,1,0.006,0
mergesort,sorted,1000,2,0.5544,0
quicksort,sorted,1000,2,0.7547,0
insertionsort,sorted,1000,2,0.0412,0
selectionsort,sorted,1000,2,8.494,0
bubblesort,sorted,1000,2,0.0152,0
mergesort,sorted,1000,3,0.7174,0
quicksort,sorted,1000,3,1.0633,0
insertionsort,sorted,1000,3,0.048,0
selectionsort,sorted,1000,3,7.2498,0
bubblesort,sorted,1000,3,0.0387,0
mergesort,sorted,1000,4,0.6021,0
quicksort,sorted,1000,4,0.7319,0
insertionsort,sorted,1000,4,0.0356,0
selectionsort,sorted,1000,4,7.3191,0
bubblesort,sorted,1000,4,0.0068,0
mergesort,sorted,1000,5,0.2515,0
quicksort,sorted,1000,5,0.3353,0
insertionsort,sorted,1000,5,0.0168,0
