Algorithm,InputSize,DataType,Run,Time_ms
Bubble Sort,1000,Random,1,11.4673
Selection Sort,1000,Random,1,2.3653
Insertion Sort,1000,Random,1,2.3473
Merge Sort,1000,Random,1,1.3255
Quick Sort,1000,Random,1,0.1337
Bubble Sort,1000,Random,2,6.1677
Selection Sort,1000,Random,2,2.1829
Insertion Sort,1000,Random,2,2.2367
Merge Sort,1000,Random,2,1.3094
Quick Sort,1000,Random,2,0.1328
Bubble Sort,1000,Random,3,6.2558
Selection Sort,1000,Random,3,2.1357
Insertion Sort,1000,Random,3,2.2702
Merge Sort,1000,Random,3,1.3067
Quick Sort,1000,Random,3,0.1244
Bubble Sort,1000,Random,4,6.3217
Selection Sort,1000,Random,4,2.133
Insertion Sort,1000,Random,4,2.3006
Merge Sort,1000,Random,4,1.3188
Quick Sort,1000,Random,4,0.1176
Bubble Sort,1000,Random,5,6.3949
Selection Sort,1000,Random,5,3.3478
Insertion Sort,1000,Random,5,2.2547
Merge Sort,1000,Random,5,1.5489
Quick Sort,1000,Random,5,0.1323
Bubble Sort,1000,Random,6,6.2758
Selection Sort,1000,Random,6,2.1207
Insertion Sort,1000,Random,6,2.4078
Merge Sort,1000,Random,6,1.3122
Quick Sort,1000,Random,6,0.1261
Bubble Sort,1000,Random,7,6.5202
Selection Sort,1000,Random,7,2.1407
Insertion Sort,1000,Random,7,2.3845
Merge Sort,1000,Random,7,1.34
Quick Sort,1000,Random,7,0.1271
Bubble Sort,1000,Random,8,6.7511
Selection Sort,1000,Random,8,2.2076
Insertion Sort,1000,Random,8,2.3024
Merge Sort,1000,Random,8,1.3202
Quick Sort,1000,Random,8,0.1261
Bubble Sort,1000,Random,9,6.6222
Selection Sort,1000,Random,9,3.6637
Insertion Sort,1000,Random,9,2.6713
Merge Sort,1000,Random,9,1.4981
Quick Sort,1000,Random,9,0.1302
Bubble Sort,1000,Random,10,6.4793
Selection Sort,1000,Random,10,2.6058
Insertion Sort,1000,Random,10,2.384
Merge Sort,1000,Random,10,1.4151
Quick Sort,1000,Random,10,0.1518
Bubble Sort,1000,Sorted,1,2.188
Selection Sort,1000,Sorted,1,2.1304
Insertion Sort,1000,Sorted,1,0.0126
Merge Sort,1000,Sorted,1,1.2609
Quick Sort,1000,Sorted,1,7.4836
Bubble Sort,1000,Sorted,2,2.6468
Selection Sort,1000,Sorted,2,2.1371
Insertion Sort,1000,Sorted,2,0.0122
Merge Sort,1000,Sorted,2,1.4845
Quick Sort,1000,Sorted,2,7.9825
Bubble Sort,1000,Sorted,3,2.2914
Selection Sort,1000,Sorted,3,2.3093
Insertion Sort,1000,Sorted,3,0.0139
Merge Sort,1000,Sorted,3,1.3141
Quick Sort,1000,Sorted,3,6.6383
Bubble Sort,1000,Sorted,4,2.3186
Selection Sort,1000,Sorted,4,2.356
Insertion Sort,1000,Sorted,4,0.0126
Merge Sort,1000,Sorted,4,1.357
Quick Sort,1000,Sorted,4,7.0616
Bubble Sort,1000,Sorted,5,2.6675
Selection Sort,1000,Sorted,5,2.5272
Insertion Sort,1000,Sorted,5,0.0127
Merge Sort,1000,Sorted,5,1.3513
Quick Sort,1000,Sorted,5,6.5672
Bubble Sort,1000,Sorted,6,2.1561
Selection Sort,1000,Sorted,6,2.3418
Insertion Sort,1000,Sorted,6,0.0174
Merge Sort,1000,Sorted,6,1.6148
Quick Sort,1000,Sorted,6,6.7392
Bubble Sort,1000,Sorted,7,2.1586
Selection Sort,1000,Sorted,7,2.2607
Insertion Sort,1000,Sorted,7,0.0126
Merge Sort,1000,Sorted,7,1.2833
Quick Sort,1000,Sorted,7,6.4691
Bubble Sort,1000,Sorted,8,2.3911
Selection Sort,1000,Sorted,8,2.1204
Insertion Sort,1000,Sorted,8,0.0107
Merge Sort,1000,Sorted,8,1.2797
Quick Sort,1000,Sorted,8,6.4846
Bubble Sort,1000,Sorted,9,2.2304
Selection Sort,1000,Sorted,9,2.1376
Insertion Sort,1000,Sorted,9,0.0104
Merge Sort,1000,Sorted,9,1.2586
Quick Sort,1000,Sorted,9,6.9967
Bubble Sort,1000,Sorted,10,2.4437
Selection Sort,1000,Sorted,10,2.2963
Insertion Sort,1000,Sorted,10,0.0133
Merge Sort,1000,Sorted,10,1.4605
Quick Sort,1000,Sorted,10,6.7979
Bubble Sort,1000,Reverse,1,10.3531
Selection Sort,1000,Reverse,1,2.2639
Insertion Sort,1000,Reverse,1,4.6671
Merge Sort,1000,Reverse,1,1.2521
Quick Sort,1000,Reverse,1,4.0344
Bubble Sort,1000,Reverse,2,8.5041
Selection Sort,1000,Reverse,2,2.2146
Insertion Sort,1000,Reverse,2,4.8534
Merge Sort,1000,Reverse,2,1.3189
Quick Sort,1000,Reverse,2,3.7739
Bubble Sort,1000,Reverse,3,8.4806
Selection Sort,1000,Reverse,3,2.2945
Insertion Sort,1000,Reverse,3,4.4731
Merge Sort,1000,Reverse,3,1.2614
Quick Sort,1000,Reverse,3,3.6797
Bubble Sort,1000,Reverse,4,9.0695
Selection Sort,1000,Reverse,4,2.1144
Insertion Sort,1000,Reverse,4,4.4841
Merge Sort,1000,Reverse,4,1.2625
Quick S
